@relation 'processed-weka.filters.unsupervised.attribute.Remove-R1-28,56-61-weka.filters.unsupervised.attribute.Remove-R17,20-25-weka.filters.unsupervised.attribute.Remove-R3-6,14'

@attribute stress_level_bin {Low,Moderate,High}
@attribute 'daily_screen_time_hours (Normalized)' numeric
@attribute 'social_media_hours (Normalized)' numeric
@attribute 'work_related_hours (Normalized)' numeric
@attribute 'entertainment_hours (Normalized)' numeric
@attribute 'gaming_hours (Normalized)' numeric
@attribute 'sleep_duration_hours (Normalized)' numeric
@attribute 'sleep_quality (Normalized)' numeric
@attribute 'mood_rating (Normalized)' numeric
@attribute 'physical_activity_hours_per_week (Normalized)' numeric
@attribute 'mental_health_score (Normalized)' numeric
@attribute 'weekly_anxiety_score (Normalized)' numeric
@attribute 'mindfulness_minutes_per_day (Normalized)' numeric
@attribute 'uses_wellness_apps (Encoded)' numeric
@attribute 'eats_healthy (Encoded)' numeric

@data
High,0.733333,1,0.894737,0.487179,0.289474,0.583333,0.75,0.111111,0.076271,0.478261,0.714286,0.281081,0,0
High,0.9,1,0.789474,0.230769,0.5,0.611111,0.5,0,0.067797,0.304348,0.809524,0.189189,1,0
Low,0.233333,0.428571,0.578947,0.487179,0.526316,0.527778,0.5,0.688889,0.483051,0.608696,0.095238,0.813514,1,0
High,0.455556,0.97619,0.842105,0.435897,0.289474,0.944444,0.75,0.311111,0.169492,0.246377,0.333333,0.1,0,1
Moderate,0.388889,0.833333,0.894737,0.564103,0.368421,0.666667,1,0.333333,0.169492,0.521739,0.47619,0.548649,1,0
High,0.566667,1,0.710526,0.461538,0.263158,0.5,0.75,0.133333,0.237288,0.449275,0.52381,0.313514,1,0
Low,0.244444,0.333333,0.526316,0.615385,0.736842,0.333333,0.75,0.977778,0.254237,0.666667,0.238095,0.581081,0,1
Low,0.188889,0.142857,0.078947,0.666667,0.631579,0.611111,1,1,0.415254,0.898551,0.095238,0.551351,0,1
Moderate,0.311111,0.595238,0.710526,0.435897,0.710526,0.638889,1,0.655556,0.288136,0.42029,0.095238,0.589189,1,1
Low,0.244444,0.428571,0.710526,0.538462,0.5,0.666667,1,0.866667,0.745763,0.782609,0.238095,0.408108,0,0
Low,0.477778,0.47619,0.473684,0.564103,0.684211,0.361111,0.75,0.566667,0.449153,0.73913,0.333333,0.651351,0,0
Low,0.411111,0.380952,0.368421,0.461538,0.842105,0.472222,0.75,1,0.338983,0.753623,0.190476,0.735135,1,1
Low,0.266667,0.261905,0.473684,0.769231,0.5,0.694444,1,0.888889,0.220339,0.637681,0.285714,0.343243,1,1
High,0.822222,1,0.763158,0.410256,0.263158,0.527778,0.5,0.255556,0.050847,0.289855,0.714286,0.167568,1,0
Moderate,0.488889,0.642857,0.842105,0.538462,0.552632,0.666667,0.75,0.633333,0.338983,0.681159,0.380952,0.302703,1,0
Moderate,0.322222,0.666667,0.763158,0.128205,0.447368,0.611111,1,0.355556,0.313559,0.565217,0.190476,0.572973,0,1
Low,0.2,0.142857,0.157895,0.487179,0.684211,0.638889,1,0.688889,0.381356,0.797101,0,0.337838,1,1
High,0.9,1,0.868421,0.333333,0.342105,0.472222,0.75,0,0.110169,0.231884,0.904762,0.018919,0,1
Moderate,0.588889,0.666667,0.763158,0.384615,0.210526,0.5,0.75,0.377778,0.29661,0.463768,0.333333,0.289189,1,1
High,0.4,1,0.921053,0.358974,0.315789,0.361111,1,0.033333,0.076271,0.434783,0.52381,0.189189,1,1
High,0.766667,1,0.789474,0.153846,0.315789,0.638889,0.75,0,0.008475,0.217391,0.47619,0.116216,0,0
High,0.477778,1,0.842105,0.205128,0.289474,0.666667,0.5,0,0,0.202899,0.761905,0.183784,0,0
High,0.7,1,0.868421,0.564103,0.210526,0.527778,0.5,0,0.186441,0.304348,0.904762,0.135135,0,0
Low,0.177778,0.071429,0.131579,0.384615,0.710526,0.444444,1,0.722222,0.322034,0.710145,0.190476,0.902703,0,1
High,0.477778,1,0.763158,0.205128,0.157895,0.666667,0.75,0,0,0.188406,0.714286,0.289189,0,1
Low,0.333333,0.095238,0.184211,0.564103,0.763158,0.527778,1,0.8,0.474576,0.782609,0.142857,0.540541,1,0
Moderate,0.244444,0.761905,0.789474,0.512821,0.368421,0.722222,1,0.322222,0,0.434783,0.190476,0.532432,0,0
Low,0.288889,0.5,0.578947,0.666667,0.552632,0.666667,1,0.722222,0.542373,0.666667,0.142857,0.686486,1,1
Moderate,0.488889,0.857143,0.921053,0.358974,0.210526,0.5,0.75,0.533333,0.211864,0.463768,0.52381,0.478378,0,1
Moderate,0.288889,0.666667,0.815789,0.461538,0.473684,0.75,0.5,0.288889,0.313559,0.608696,0.428571,0.548649,1,1
Low,0.366667,0.261905,0.394737,0.564103,0.526316,0.388889,0.75,0.911111,0.364407,0.521739,0.190476,0.383784,0,0
Moderate,0.533333,0.761905,0.763158,0.512821,0.263158,0.527778,0.5,0.4,0.186441,0.304348,0.333333,0.197297,0,0
Low,0.277778,0.190476,0.394737,0.666667,0.973684,0.833333,0.75,0.544444,0.364407,0.724638,0.142857,0.664865,1,0
Low,0.044444,0.238095,0.394737,0.615385,0.657895,0.75,0.5,0.666667,0.635593,0.695652,0,0.624324,1,1
Moderate,0.477778,0.619048,0.657895,0.179487,0.315789,0.666667,0.75,0.633333,0.262712,0.521739,0.238095,0.556757,1,1
Moderate,0.555556,0.666667,0.763158,0.333333,0.421053,0.527778,0.75,0.455556,0.161017,0.57971,0.333333,0.391892,0,0
Moderate,0.3,0.571429,0.657895,0.384615,0.473684,0.583333,1,0.344444,0.288136,0.652174,0.428571,0.227027,1,0
Moderate,0.188889,0.619048,0.710526,0.358974,0.315789,0.472222,1,0.477778,0.194915,0.507246,0.285714,0.572973,0,0
Low,0.277778,0.142857,0.052632,0.666667,0.763158,0.583333,1,0.766667,0.415254,0.797101,0.047619,0.975676,1,1
High,0.4,0.880952,0.842105,0.384615,0.289474,0.638889,0.75,0.155556,0,0.289855,0.380952,0.4,1,1
High,0.466667,0.928571,0.842105,0.384615,0.157895,0.388889,1,0.188889,0.245763,0.376812,0.571429,0.254054,1,1
High,0.288889,1,0.815789,0.512821,0.289474,0.472222,1,0.122222,0,0.362319,0.571429,0.337838,0,0
High,0.6,1,0.894737,0.153846,0.236842,0.555556,0.75,0.077778,0.067797,0.289855,0.666667,0.086486,0,1
Moderate,0.6,0.857143,0.710526,0.282051,0.315789,0.638889,0.75,0.366667,0.262712,0.492754,0.52381,0.589189,1,1
Moderate,0.522222,0.595238,0.605263,0.384615,0.447368,0.805556,0.75,0.666667,0.389831,0.536232,0.190476,0.581081,1,0
Low,0.5,0.47619,0.605263,0.435897,0.5,0.472222,1,0.711111,0.29661,0.652174,0.285714,0.627027,0,1
High,0.811111,0.928571,0.868421,0.461538,0.315789,0.388889,0.5,0.133333,0.135593,0.347826,0.47619,0.208108,0,0
Moderate,0.277778,0.595238,0.684211,0.333333,0.473684,0.722222,1,0.511111,0.144068,0.565217,0,0.62973,0,0
High,0.588889,0.880952,0.868421,0.358974,0.157895,0.583333,0.5,0.144444,0,0.246377,0.619048,0.427027,0,1
Moderate,0.4,0.833333,0.842105,0.461538,0.368421,0.527778,0.75,0.466667,0.09322,0.347826,0.428571,0.405405,0,0
High,0.6,0.97619,0.947368,0.487179,0.342105,0.5,0.75,0.044444,0.09322,0.478261,0.619048,0.424324,0,0
High,0.522222,0.952381,0.789474,0.410256,0.026316,0.444444,0.5,0.422222,0,0.202899,0.428571,0.310811,0,0
High,0.155556,0.904762,0.815789,0.410256,0,0.472222,0.75,0.222222,0.076271,0.405797,0.47619,0.194595,0,1
Low,0.266667,0.166667,0.157895,0.589744,0.710526,0.583333,1,1,0.491525,0.753623,0.095238,0.375676,0,1
Low,0.322222,0.166667,0.184211,0.769231,0.684211,0.805556,1,0.811111,0.559322,0.797101,0.142857,0.643243,1,1
Low,0.222222,0.452381,0.5,0.538462,0.605263,0.527778,1,0.777778,0.338983,0.594203,0.142857,0.291892,0,1
Moderate,0.311111,0.595238,0.710526,0.487179,0.368421,0.388889,1,0.766667,0.20339,0.434783,0.333333,0.494595,0,0
High,0.355556,1,0.868421,0.333333,0.289474,0.444444,1,0.122222,0,0.333333,0.714286,0.191892,0,0
Low,0.277778,0.357143,0.394737,0.615385,0.710526,0.666667,1,1,0.415254,0.681159,0.285714,0.732432,1,1
Moderate,0.1,0.666667,0.815789,0.230769,0.5,0.722222,0.75,0.611111,0.550847,0.666667,0.285714,0.732432,1,0
Moderate,0.333333,0.571429,0.710526,0.307692,0.368421,0.75,0.75,0.711111,0.398305,0.652174,0.142857,0.462162,1,0
High,0.711111,1,0.815789,0.384615,0.263158,0.611111,0.75,0.177778,0.110169,0.449275,0.380952,0.183784,0,0
Low,0.155556,0.285714,0.5,0.461538,0.578947,0.694444,0.75,0.622222,0.305085,0.695652,0.285714,0.254054,1,1
Moderate,0.266667,0.714286,0.763158,0.282051,0.394737,0.694444,1,0.577778,0.313559,0.608696,0.285714,0.205405,0,0
Moderate,0.366667,0.690476,0.763158,0.384615,0.421053,0.472222,0.75,0.366667,0.279661,0.521739,0.238095,0.308108,0,0
Low,0.1,0.333333,0.421053,0.487179,0.763158,0.75,1,0.622222,0.330508,0.536232,0.190476,0.556757,0,1
Moderate,0.2,0.714286,0.842105,0.461538,0.342105,0.611111,0.75,0.411111,0.29661,0.608696,0.190476,0.167568,1,1
Low,0.444444,0.428571,0.578947,0.717949,0.657895,0.666667,1,0.711111,0.262712,0.608696,0.142857,0.727027,1,1
Low,0.422222,0.428571,0.552632,0.538462,0.657895,0.611111,0.75,0.611111,0.330508,0.478261,0.095238,0.294595,1,1
High,0.344444,1,0.789474,0.282051,0.263158,0.527778,0.75,0.133333,0,0.26087,0.428571,0.137838,0,1
High,0.488889,0.952381,0.842105,0.487179,0.210526,0.361111,0.75,0.011111,0.050847,0.217391,0.714286,0.162162,1,0
Low,0.211111,0.261905,0.447368,0.692308,0.631579,0.555556,0.75,0.822222,0.347458,0.681159,0.047619,0.872973,0,0
High,0.411111,1,0.842105,0.358974,0.342105,0.583333,0.75,0.1,0.067797,0.376812,0.619048,0.264865,0,1
Moderate,0.266667,0.642857,0.684211,0.384615,0.473684,0.5,0.75,0.544444,0.440678,0.594203,0.285714,0.254054,0,1
High,0.844444,0.952381,0.815789,0.358974,0.157895,0.388889,0.5,0.166667,0.110169,0.347826,0.52381,0.116216,0,0
Low,0.3,0.095238,0.236842,0.769231,0.710526,0.75,0.75,0.977778,0.449153,0.753623,0.047619,1,1,1
Low,0.444444,0.142857,0.105263,0.564103,0.605263,0.694444,0.75,0.922222,0.398305,0.855072,0.047619,0.610811,1,0
Moderate,0.377778,0.857143,0.710526,0.435897,0.289474,0.638889,0.75,0.433333,0.127119,0.463768,0.619048,0.389189,0,0
Low,0.433333,0.452381,0.605263,0.538462,0.736842,0.722222,0.5,0.711111,0.542373,0.608696,0.047619,0.664865,0,0
High,0.566667,1,0.947368,0.384615,0.421053,0.333333,0.5,0.244444,0.228814,0.289855,0.619048,0.243243,1,0
High,0.6,1,0.894737,0.153846,0.236842,0.694444,0.5,0,0,0.188406,0.714286,0.021622,0,1
